"id_pm","id_member","bcc","is_read","deleted","labels","is_new"
"3085","138","0","1","0","-1","0"
"5489","1460","0","1","0","-1","0"
"3927","73","0","1","0","-1","0"
"3929","669","0","1","0","-1","0"
"2281","104","0","1","0","-1","0"
"2282","104","0","1","0","-1","0"
"2663","104","0","1","0","-1","0"
"2052","120","0","1","0","-1","0"
"2019","6","0","1","0","-1","0"
"7047","3832","0","1","0","-1","0"
"2906","104","0","1","0","-1","0"
"2914","568","0","1","0","-1","0"
"6681","3268","0","1","0","-1","0"
"2021","256","0","1","0","-1","0"
"6010","1923","0","1","0","-1","0"
"3046","138","0","1","0","-1","0"
"2068","260","0","1","0","-1","0"
"3555","27","0","1","0","-1","0"
"4287","1058","0","1","0","-1","0"
"2654","104","0","1","0","-1","0"
"2737","311","0","1","0","-1","0"
"2244","104","0","1","0","-1","0"
"2135","269","0","1","0","-1","0"
"2731","138","0","1","0","-1","0"
"3559","27","0","1","0","-1","0"
"6675","1114","0","1","0","-1","0"
"2858","68","0","1","0","-1","0"
"5485","163","0","1","0","-1","0"
"2399","127","0","1","0","-1","0"
"5483","537","0","1","0","-1","0"
"3881","104","0","1","0","-1","0"
"6595","702","0","1","0","-1","0"
"7335","4316","0","1","0","-1","0"
"7112","1076","0","1","0","-1","0"
"4051","56","0","1","0","-1","0"
"3035","311","0","1","0","-1","0"
"3413","115","0","1","0","-1","0"
"3505","85","0","1","0","-1","0"
"5628","115","0","1","0","-1","0"
"7286","1424","0","1","0","-1","0"
"4373","498","0","1","0","-1","0"
"2890","85","0","1","0","-1","0"
"2882","228","0","1","0","-1","0"
"2883","228","0","1","0","-1","0"
"2918","568","0","1","0","-1","0"
"26127","19148","0","3","0","-1","0"
"4565","115","0","1","0","-1","0"
"2486","299","0","1","0","-1","0"
"2492","6","0","1","0","-1","0"
"6443","286","0","0","0","-1","0"
"6445","497","0","1","0","-1","0"
"6949","3821","0","1","0","-1","0"
"6448","4","0","1","0","-1","0"
"3077","33","0","1","0","-1","0"
"2534","104","0","1","0","-1","0"
"2538","104","0","1","0","-1","0"
"2542","104","0","1","0","-1","0"
"3073","33","0","1","0","-1","0"
"2546","104","0","1","0","-1","0"
"4235","497","0","1","0","-1","0"
"3071","138","0","1","0","-1","0"
"2552","104","0","1","0","-1","0"
"2554","313","0","1","0","-1","0"
"2556","104","0","1","0","-1","0"
"2558","313","0","1","0","-1","0"
"2629","365","0","1","0","-1","0"
"2635","365","0","1","0","-1","0"
"2650","104","0","1","0","-1","0"
"2649","374","0","1","0","-1","0"
"2690","359","0","1","0","-1","0"
"2700","104","0","1","0","-1","0"
"2701","359","0","1","0","-1","0"
"5211","27","0","1","0","-1","0"
"5878","68","0","1","0","-1","0"
"2709","359","0","1","0","-1","0"
"2711","359","0","1","0","-1","0"
"2717","16","0","1","0","-1","0"
"3231","723","0","1","0","-1","0"
"4865","1198","0","1","0","-1","0"
"2978","525","0","1","0","-1","0"
"8432","497","0","1","0","-1","0"
"8549","6212","0","1","0","-1","0"
"8434","4522","0","1","0","-1","0"
"2790","16","0","1","0","-1","0"
"8606","5431","0","1","0","-1","0"
"10045","4833","0","1","0","-1","0"
"2794","493","0","1","0","-1","0"
"2800","493","0","1","0","-1","0"
"2802","489","0","1","0","-1","0"
"2804","476","0","1","0","-1","0"
"2808","493","0","1","0","-1","0"
"2926","127","0","1","0","-1","0"
"2818","505","0","1","0","-1","0"
"3140","636","0","1","0","-1","0"
"2976","114","0","1","0","-1","0"
"2872","5","0","1","0","-1","0"
"6006","1923","0","1","0","-1","0"
"6465","1337","0","1","0","-1","0"
"9578","6378","0","1","0","-1","0"
"2854","68","0","1","0","-1","0"
"2938","16","0","1","0","-1","0"
"2944","16","0","1","0","-1","0"
"2948","127","0","1","0","-1","0"
"4066","1144","0","0","0","-1","0"
"4057","56","0","1","0","-1","0"
"4931","507","0","1","0","-1","0"
"2958","16","0","1","0","-1","0"
"2960","5","0","1","0","-1","0"
"2994","27","0","1","0","-1","0"
"3134","16","0","1","0","-1","0"
"3002","16","0","1","0","-1","0"
"6004","1430","0","1","0","-1","0"
"3158","636","0","1","0","-1","0"
"5377","73","0","1","0","-1","0"
"5475","73","0","1","0","-1","0"
"3163","191","0","1","0","-1","0"
"3183","636","0","1","0","-1","0"
"3187","636","0","1","0","-1","0"
"3185","5","0","1","0","-1","0"
"6958","4","0","1","0","-1","0"
"3193","636","0","1","0","-1","0"
"3457","789","0","1","0","-1","0"
"4897","1198","0","1","0","-1","0"
"3197","476","0","1","0","-1","0"
"3336","56","0","1","0","-1","0"
"3200","476","0","1","0","-1","0"
"6671","3221","0","1","0","-1","0"
"4801","115","0","1","0","-1","0"
"3394","115","0","1","0","-1","0"
"3396","115","0","1","0","-1","0"
